NAME,ZIP,LATITUDE,LONGITUDE
UNKNOWN300287,95602,38.95693936,-121.0422238
DEADEND300291,90703,33.88772,-118.038889
BLYTHE,92225,33.60623703,-114.5997954
HUNT-WESSON,95826,38.53284029,-121.3974843
UNKNOWN300294,93251,35.41998532,-119.6330673
WESTLAND #1 RA,93622,36.73562644,-120.6402426
UNKNOWN300300,92251,32.9054713,-115.5181584
PILOT KNOB,92283,32.73646926,-114.7127379
IONE,95640,38.37392436,-120.9575063
UNKNOWN300307,93560,34.83788042,-118.4752134
ROSELLE,95355,37.68013943,-120.9401395
PIT 3,96065,40.99771462,-121.7475402
DUANE,95054,37.37694531,-121.9513893
FRENCH MEADOWS,95631,39.07793799,-120.4062886
GLASS,93637,36.92819077,-120.1071186
FOOTHILL PLACER,95747,38.78139336,-121.319609
UNKNOWN300334,93210,36.39923679,-120.2329466
GOLD HILL,95630,38.65755743,-121.1368329
RISER300337,91710,33.996445,-117.690634
CORDELIA,94534,38.19807867,-122.1551291
UNKNOWN300345,95662,38.678358,-121.230248
PALM SPRINGS,92262,33.82512064,-116.5461307
BORDEN,93636,36.92214939,-119.9845031
RISER300351,90262,33.925675,-118.200069
UNKNOWN300352,94571,38.17130142,-121.8464202
DOWNEY MED,90242,33.92078116,-118.1274133
UNKNOWN300355,95482,39.14311066,-123.1918676
SAN BRUNO,94066,37.6209799,-122.4252459
MINARET,93546,37.65152882,-119.0106681
STATION D,95811,38.57201813,-121.5004663
UNKNOWN300361,93210,36.13400182,-120.2520378
VANDENBERG AFB,93437,34.76377939,-120.5259908
HARPER LAKE,92347,35.02663165,-117.3482321
LEE VINING,93541,37.95218768,-119.1168573
UNKNOWN300374,94801,37.94713416,-122.3992805
SWIFT,95148,37.32247812,-121.7970233
TRAVIS AB,94535,38.27155749,-121.9334251
UNKNOWN300379,95934,40.09380622,-120.9112343
SPANISH CREEK,95971,40.02695125,-120.9631973
HINSON,90810,33.81929087,-118.2224872
CALDEN,90002,33.95649184,-118.2323413
CARMICHAEL ID,95670,38.61923021,-121.2826532
SUTTER-VALE VISTA,95608,38.63280234,-121.3131888
NEPCO,95685,38.36879514,-120.8055185
UNKNOWN300402,95758,38.43828511,-121.4038327
SAN LUIS OBISPO,93401,35.26168261,-120.6348902
COLTON CEMENT,92324,34.05449229,-117.3412291
PUENTE,91748,34.0090391,-117.9305028
SAN MARCOS,93110,34.45197117,-119.7614743
UNKNOWN300415,93940,36.59881833,-121.8538241
LOS OSITOS,93930,36.29376521,-121.2001472
AMDEE,96113,40.30040486,-120.1942327
COLOSSUS,91355,34.43102987,-118.5987988
SAUGUS,91355,34.42198973,-118.5757153
STATION E (TOLUCA),91601,34.17619826,-118.3596448
RIO VISTA,92227,32.97030763,-115.5341391
UNKNOWN300431,95203,37.94632013,-121.3285145
ELSINORE,92530,33.67442746,-117.3261898
UNKNOWN300433,93532,34.67430214,-118.4395648
SKILAND,93546,37.63666324,-118.9643886
WALDO,94530,37.90941787,-122.3068816
UNKNOWN300443,93240,35.641194,-118.482932
UNKNOWN300445,90040,33.978519,-118.148819
COLLEGE,90840,33.78408242,-118.1085878
PECHANGA,92592,33.4909397,-117.0638733
CORRAL,95236,38.10145466,-120.9261852
SILVERADO,94574,38.49982361,-122.4592018
DUNN SIDING,92338,35.04948589,-116.4400326
WATERMAN-GRANT LINE,95624,38.39016077,-121.3532182
HAIWEE,93555,36.10988,-117.9565142
UNITED COGEN INC,94128,37.63833881,-122.3938625
COLLIERVILLE,95247,38.14454835,-120.3814053
CULVER,90232,34.01509737,-118.4018251
UNKNOWN300475,92240,33.90278348,-116.5540245
MIDSUN,93224,35.24239872,-119.6245508
CAMANCHE DAM,95220,38.226872,-121.0245305
ESTERO,93033,34.14595329,-119.0956397
ANTLER,96051,40.89449669,-122.3807992
UNKNOWN300485,92324,34.08667362,-117.3263995
LONE PINE,93545,36.60071386,-118.0725467
UNKNOWN300487,93307,35.29710229,-118.863018
PEPPER,92376,34.10203075,-117.3535308
TYLER,96080,40.13829833,-122.2087797
STATION J,91324,34.22929511,-118.5434782
ROSE,93307,34.99182935,-118.942802
EL NIDO,95317,37.12063275,-120.4727767
